date,state,positive,new_positive,negative,death,new_death,hospitalized
20200721,Puerto Rico,12940,479,255766,180,0,
20200721,Rhode Island,17986,82,166978,996,1,2116
20200721,South Carolina,73337,1892,525356,1221,57,4498
20200721,South Dakota,8019,76,91826,118,0,776
20200721,Tennessee,81944,2190,1156289,871,24,3798
20200721,Texas,341739,9305,2701835,4151,131,
20200721,Utah,35012,486,440431,251,4,2109
20200721,Virginia,79371,996,860721,2048,17,11424
20200721,Virgin Islands,308,4,6853,6,0,
20200721,Vermont,1366,6,83581,56,0,
20200721,Washington,47743,797,778611,1453,6,5102
20200721,Wisconsin,47836,1161,750562,866,13,4194
20200721,West Virginia,5199,57,235127,101,1,
20200721,Wyoming,2238,51,41927,25,1,146
20200720,Alaska,2414,137,173172,18,0,
20200720,Alabama,68891,1880,524897,1291,4,8368
20200720,Arkansas,33927,1394,398889,357,0,2202
20200720,American Samoa,0,0,1037,0,0,
20200720,Arizona,145183,1559,648340,2784,23,6698
20200720,California,391538,6846,6022783,7694,9,
20200720,Colorado,40142,354,402027,1615,0,6032
20200720,Connecticut,48055,162,614741,4406,10,10654
20200720,Washington DC,11339,78,140401,579,1,
20200720,Delaware,13519,0,139476,523,0,
20200720,Florida,360394,10347,2691712,5183,92,21605
20200720,Georgia,145575,2452,1128206,3176,3,15047
20200720,Guam,319,4,18252,5,0,
20200720,Hawaii,1381,27,104575,24,0,150
20200720,Iowa,39166,443,379378,797,3,
20200720,Idaho,14873,571,133015,119,0,600
20200720,Illinois,163923,1173,2116361,7494,6,
20200720,Indiana,57206,635,578454,2825,3,7941
20200720,Kansas,23334,1369,238197,307,8,1497
20200720,Kentucky,23414,253,470740,671,1,2882
20200720,Louisiana,94892,3186,1008032,3572,29,
20200720,Massachusetts,113789,255,937492,8433,2,11722
20200720,Maryland,78685,554,670594,3382,5,11897
20200720,Maine,3711,24,135511,117,0,375
20200720,Michigan,82395,527,1424394,6373,7,
20200720,Minnesota,47107,903,820303,1585,4,4678
20200720,Missouri,33624,530,538288,1132,3,
20200720,MP,37,0,11055,2,0,4
20200720,Mississippi,43889,1251,346086,1358,3,3766
20200720,Montana,2621,88,136421,39,2,167
20200720,North Carolina,101046,1268,1322842,1642,8,
20200720,North Dakota,5126,107,130852,82,0,305
20200720,Nebraska,22583,102,212313,301,0,1482
20200720,New Hampshire,6203,0,137175,398,0,673
20200720,New Jersey,176963,180,1625911,15715,9,21058
20200720,New Mexico,16971,235,452244,571,2,2387
20200720,Nevada,36713,948,358708,648,1,
20200720,New York,407326,519,4757486,25056,8,89995
20200720,Ohio,76168,1236,1105744,3189,15,9610
20200720,Oklahoma,25433,168,450675,452,1,2403
20200720,Oregon,14847,268,325197,262,2,1387
20200720,Pennsylvania,101738,711,938175,7018,3,
20200720,Puerto Rico,12461,398,255766,180,2,
20200720,Rhode Island,17904,111,165721,995,5,2110
20200720,South Carolina,71445,1459,516871,1164,9,4182
20200720,South Dakota,7943,37,90711,118,0,774
20200720,Tennessee,79754,1639,1135413,847,4,3712
20200720,Texas,332434,7404,2652120,4020,62,
20200720,Utah,34526,409,434878,247,4,2066
20200720,Virginia,78375,945,842086,2031,4,11265
20200720,Virgin Islands,304,7,6617,6,0,
20200720,Vermont,1360,10,82508,56,0,
20200720,Washington,46946,920,762393,1447,3,5063
20200720,Wisconsin,46675,727,737191,853,2,4129
20200720,West Virginia,5142,100,229838,100,0,
20200720,Wyoming,2187,61,41927,24,0,144
20200719,Alaska,2277,118,170733,18,0,
20200719,Alabama,67011,1777,518522,1287,1,7782
20200719,Arkansas,32533,771,386638,357,4,2177
20200719,American Samoa,0,0,1037,0,0,
20200719,Arizona,143624,2359,642355,2761,31,6632
